tensor(0.1708),tensor(0.0446),tensor(0.0473),tensor(-0.3021),tensor(0.8169),tensor(0.5704),tensor(-0.),tensor(0.)
tensor(-0.0533),tensor(0.6179),tensor(0.1325),tensor(0.6031),tensor(-0.5622),tensor(-0.1679),tensor(0.0400),tensor(-0.0400)
tensor(-0.2329),tensor(0.0480),tensor(-0.1592),tensor(-0.3835),tensor(-0.0614),tensor(-0.3246),tensor(-0.),tensor(-0.0400)
tensor(0.2259),tensor(-0.1754),tensor(-0.1708),tensor(0.2101),tensor(-0.1513),tensor(-0.1277),tensor(0.0400),tensor(-0.0400)
tensor(-0.0262),tensor(0.5306),tensor(0.1283),tensor(0.2138),tensor(-0.0749),tensor(0.1543),tensor(0.0400),tensor(0.)
tensor(0.0742),tensor(0.0180),tensor(-0.1726),tensor(-0.0523),tensor(0.0627),tensor(-0.1301),tensor(-0.),tensor(-0.0400)
tensor(-0.0107),tensor(-0.0729),tensor(-0.0444),tensor(0.0384),tensor(-0.0399),tensor(0.2343),tensor(0.0288),tensor(-0.0102)
tensor(0.0873),tensor(-0.0610),tensor(0.1075),tensor(-0.0442),tensor(0.0168),tensor(0.1209),tensor(0.0400),tensor(0.)
tensor(0.0319),tensor(0.0486),tensor(0.0569),tensor(-0.0453),tensor(-0.0139),tensor(0.0542),tensor(-0.),tensor(-0.0400)
tensor(0.0691),tensor(0.0914),tensor(-0.0163),tensor(-0.0330),tensor(0.0547),tensor(0.0280),tensor(-0.),tensor(-0.0329)
tensor(0.0010),tensor(-0.0504),tensor(0.0767),tensor(-0.1341),tensor(0.0173),tensor(0.0246),tensor(0.0292),tensor(-0.0400)
tensor(-0.0509),tensor(0.0347),tensor(0.0813),tensor(0.0467),tensor(-0.0289),tensor(-0.0627),tensor(-0.),tensor(0.)
tensor(-0.1110),tensor(-0.0105),tensor(0.0697),tensor(-0.0365),tensor(0.0550),tensor(0.0292),tensor(0.0343),tensor(0.)
tensor(-0.0487),tensor(-0.0081),tensor(0.0153),tensor(-0.0355),tensor(0.0496),tensor(0.0071),tensor(-0.),tensor(-0.0026)
tensor(-0.0080),tensor(-0.0119),tensor(-0.0208),tensor(-0.0277),tensor(0.0304),tensor(-0.0065),tensor(-0.),tensor(-0.0334)
tensor(0.0259),tensor(-0.0171),tensor(-0.0034),tensor(-0.0125),tensor(-0.0460),tensor(-0.0170),tensor(0.0400),tensor(-0.0400)
tensor(-0.0033),tensor(0.0132),tensor(-0.0439),tensor(-0.0055),tensor(-0.0042),tensor(0.0149),tensor(-0.),tensor(0.)
tensor(-0.0459),tensor(0.0131),tensor(-0.0110),tensor(-0.0162),tensor(0.0042),tensor(-0.0118),tensor(0.0343),tensor(0.)
tensor(0.0063),tensor(-0.0279),tensor(-0.0458),tensor(0.0171),tensor(-0.0224),tensor(-0.0659),tensor(0.0030),tensor(-0.0338)
tensor(0.0318),tensor(0.0304),tensor(0.0277),tensor(-0.0182),tensor(-0.0024),tensor(-0.0162),tensor(0.0092),tensor(-0.0297)
tensor(-0.0203),tensor(0.0160),tensor(0.0425),tensor(-0.0032),tensor(-0.0091),tensor(-0.0033),tensor(-0.),tensor(-0.0219)
tensor(-0.0026),tensor(-0.0148),tensor(-0.0008),tensor(-0.0047),tensor(0.0009),tensor(0.0119),tensor(0.0171),tensor(-0.0229)
tensor(-0.0018),tensor(-0.0116),tensor(0.0372),tensor(-0.0056),tensor(-0.0077),tensor(-0.0076),tensor(-0.),tensor(-0.0061)
tensor(0.0121),tensor(0.0034),tensor(-0.0278),tensor(0.0052),tensor(-0.0164),tensor(-0.0105),tensor(-0.),tensor(-0.0074)
tensor(-0.0063),tensor(0.0054),tensor(0.0219),tensor(-0.0037),tensor(-0.0100),tensor(0.0128),tensor(0.0082),tensor(-0.0016)
tensor(0.0046),tensor(-0.0089),tensor(0.0009),tensor(-0.0050),tensor(0.0166),tensor(-0.0200),tensor(0.0032),tensor(-0.0254)
tensor(0.0028),tensor(-0.0062),tensor(0.0094),tensor(0.0080),tensor(0.0087),tensor(-0.0046),tensor(-0.),tensor(0.)
tensor(-0.0064),tensor(-0.0147),tensor(-0.0014),tensor(-0.0057),tensor(-0.0028),tensor(0.0127),tensor(-0.),tensor(-0.0012)
tensor(-0.0010),tensor(-0.0126),tensor(-0.0092),tensor(-0.0060),tensor(-0.0169),tensor(0.0020),tensor(-0.),tensor(-0.0047)
tensor(-0.0047),tensor(0.0042),tensor(0.0016),tensor(-0.0037),tensor(0.0127),tensor(-0.0009),tensor(0.0057),tensor(-0.0096)
tensor(0.0118),tensor(0.0017),tensor(0.0026),tensor(-0.0038),tensor(-0.0079),tensor(-0.0015),tensor(6.4107e-05),tensor(0.)
tensor(0.0160),tensor(-0.0070),tensor(0.0052),tensor(-0.0013),tensor(-0.0059),tensor(0.0049),tensor(5.0432e-05),tensor(-0.0049)
tensor(0.0026),tensor(-0.0041),tensor(-0.0076),tensor(-0.0002),tensor(0.0108),tensor(0.0107),tensor(-0.),tensor(-0.0002)
tensor(-0.0031),tensor(0.0093),tensor(-0.0090),tensor(0.0028),tensor(0.0028),tensor(-0.0022),tensor(0.0089),tensor(0.)
tensor(-0.0049),tensor(-0.0107),tensor(-0.0127),tensor(0.0005),tensor(-0.0117),tensor(0.0020),tensor(0.0038),tensor(-0.0026)
tensor(0.0020),tensor(-0.0022),tensor(-0.0021),tensor(1.4152e-05),tensor(0.0052),tensor(0.0006),tensor(-0.),tensor(-0.0106)
tensor(0.0015),tensor(-0.0022),tensor(-0.0037),tensor(0.0003),tensor(0.0103),tensor(-0.0009),tensor(0.0034),tensor(0.)
